//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,107.081283,29.857996,"City","China","Chongqing","长寿区",,,,22,0,14,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.53192,29.51419,"City","China","Chongqing","高新区",,,,4,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.770678,29.53361,"City","China","Chongqing","黔江区",,,,2,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.551556,29.563009,"Province","China","Chongqing",,,,,576,0,402,6,0,0,18,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.638678,26.263406,"City","China","Fujian Province","三明",,,,14,0,12,0,0,0,4,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,118.177708,26.641768,"City","China","Fujian Province","南平",,,,20,0,14,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,118.089425,24.479833,"City","China","Fujian Province","厦门",,,,35,0,34,0,0,0,3,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,119.547932,26.665617,"City","China","Fujian Province","宁德",,,,26,0,23,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,118.675675,24.874132,"City","China","Fujian Province","泉州",,,,47,0,30,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.647481,24.512948,"City","China","Fujian Province","漳州",,,,20,0,15,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,119.296494,26.074507,"City","China","Fujian Province","福州",,,,72,0,69,1,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,119.007777,25.454084,"City","China","Fujian Province","莆田",,,,56,0,36,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.017536,25.075123,"City","China","Fujian Province","龙岩",,,,6,0,6,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,119.295144,26.100779,"Province","China","Fujian Province",,,,,296,0,239,1,0,0,11,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,103.210538,35.601182,"City","China","Gansu Province","临夏",,,,3,0,3,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,103.834303,36.061089,"City","China","Gansu Province","兰州",,,,36,0,32,2,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,105.724947,34.580863,"City","China","Gansu Province","天水",,,,12,0,12,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,104.626282,35.580662,"City","China","Gansu Province","定西",,,,9,0,8,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.66524,35.543051,"City","China","Gansu Province","平凉",,,,9,0,6,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.643631,35.709077,"City","China","Gansu Province","庆阳",,,,3,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,100.449818,38.925875,"City","China","Gansu Province","张掖",,,,2,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,102.911027,34.983385,"City","China","Gansu Province","甘南州",,,,8,0,8,0,0,0,0,0,,"2020-02-28 18:38:00"
