//数据集,标签,经度,纬度,级别,国家,省,市,区县,乡镇,村庄,确认,疑似,治愈,死亡,新增确诊,新增疑似,新增治愈,新增死亡,说明,时间
"新型冠状病毒肺炎",,115.480656,35.23375,"市","中国","山东","菏泽",,,,18,0,17,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,120.382639,36.067082,"市","中国","山东","青岛",,,,60,0,45,1,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,117.020359,36.66853,"省","中国","山东",,,,,756,0,404,6,0,0,17,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,111.518976,36.088005,"市","中国","山西","临汾",,,,2,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,111.144319,37.518314,"市","中国","山西","吕梁",,,,6,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.300129,40.076762,"市","中国","山西","大同",,,,12,0,8,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.548879,37.87059,"市","中国","山西","太原",,,,20,0,18,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.734174,38.416663,"市","中国","山西","忻州",,,,7,0,6,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.752694,37.687024,"市","中国","山西","晋中",,,,37,0,26,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.851831,35.490701,"市","中国","山西","晋城",,,,10,0,7,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.432825,39.331595,"市","中国","山西","朔州",,,,8,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,111.007528,35.026412,"市","中国","山西","运城",,,,19,0,18,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.116255,36.195386,"市","中国","山西","长治",,,,8,0,7,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.580519,37.856971,"市","中国","山西","阳泉",,,,4,0,4,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.562398,37.873531,"省","中国","山西",,,,,133,0,108,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.751765,23.020536,"市","中国","广东","东莞",,,,98,0,55,1,1,0,12,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.392782,22.517645,"市","中国","广东","中山",,,,66,0,58,0,0,0,3,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.121416,23.021548,"市","中国","广东","佛山",,,,84,0,47,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.264434,23.129162,"市","中国","广东","广州",,,,346,0,240,1,0,0,10,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,114.416196,23.111847,"市","中国","广东","惠州",,,,62,0,54,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.372831,23.549993,"市","中国","广东","揭阳",,,,8,0,5,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.122238,24.288615,"市","中国","广东","梅州",,,,16,0,12,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.681972,23.354091,"市","中国","广东","汕头",,,,25,0,22,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,115.375278,22.786211,"市","中国","广东","汕尾",,,,5,0,5,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.081901,22.578738,"市","中国","广东","江门",,,,23,0,13,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,114.700447,23.743538,"市","中国","广东","河源",,,,4,0,4,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,114.057868,22.543099,"市","中国","广东","深圳",,,,417,0,281,3,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.056031,23.681763,"市","中国","广东","清远",,,,12,0,12,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,110.359377,21.270707,"市","中国","广东","湛江",,,,22,0,17,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.622603,23.65695,"市","中国","广东","潮州",,,,5,0,5,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.576726,22.270715,"市","中国","广东","珠海",,,,98,0,63,1,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,112.465091,23.047191,"市","中国","广东","肇庆",,,,19,0,13,1,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,110.925456,21.662999,"市","中国","广东","茂名",,,,14,0,9,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,111.982232,21.857958,"市","中国","广东","阳江",,,,14,0,10,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.597522,24.810403,"市","中国","广东","韶关",,,,10,0,9,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,113.26653,23.132191,"省","中国","广东",,,,,1348,0,936,7,1,0,36,0,,"2020-02-28 16:58:00"
