gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
1355,5,114.291343,35.747294,鹤壁,,410600,0392,410600000000,,,鹤壁市,,,,,,,1015,2,100,1015,1355,,,,,
1356,5,113.920895,35.303589,新乡,,410700,0373,410700000000,,,新乡市,,,,,,,1015,2,100,1015,1356,,,,,
1357,5,113.235458,35.216404,焦作,,410800,0391,410800000000,,,焦作市,,,,,,,1015,2,100,1015,1357,,,,,
1358,5,115.023325,35.761833,濮阳,,410900,0393,410900000000,,,濮阳市,,,,,,,1015,2,100,1015,1358,,,,,
1359,5,113.846769,34.037065,许昌,,411000,0374,411000000000,,,许昌市,,,,,,,1015,2,100,1015,1359,,,,,
1360,5,114.010614,33.582899,漯河,,411100,0395,411100000000,,,漯河市,,,,,,,1015,2,100,1015,1360,,,,,
1361,5,111.194141,34.773481,三门峡,,411200,0398,411200000000,,,三门峡市,,,,,,,1015,2,100,1015,1361,,,,,
1362,5,112.522478,32.992832,南阳,,411300,0377,411300000000,,,南阳市,,,,,,,1015,2,100,1015,1362,,,,,
1363,5,115.650861,34.415539,商丘,,411400,0370,411400000000,,,商丘市,,,,,,,1015,2,100,1015,1363,,,,,
1364,5,114.085136,32.148927,信阳,,411500,0376,411500000000,,,信阳市,,,,,,,1015,2,100,1015,1364,,,,,
1365,5,114.691477,33.627706,周口,,411600,0394,411600000000,,,周口市,,,,,,,1015,2,100,1015,1365,,,,,
1366,5,114.016414,33.013341,驻马店,,411700,0396,411700000000,,,驻马店市,,,,,,,1015,2,100,1015,1366,,,,,
1367,5,113.74742,34.766507,省直辖县级行政区划,,410000,,469000000000,,,,,,,,,,1015,2,100,1015,1367,,,,,
1368,5,114.299947,30.595508,武汉,,420100,027,420100000000,,,武汉市,,,,,,,1016,2,100,1016,1368,,,,,
1369,5,115.033132,30.202074,黄石,,420200,0714,420200000000,,,黄石市,,,,,,,1016,2,100,1016,1369,,,,,
1370,5,110.79267,32.631586,十堰,,420300,0719,420300000000,,,十堰市,,,,,,,1016,2,100,1016,1370,,,,,
1371,5,111.280811,30.694406,宜昌,,420500,0717,420500000000,,,宜昌市,,,,,,,1016,2,100,1016,1371,,,,,
1372,5,112.116333,32.010943,襄阳,,420600,0710,420600000000,,,襄阳市,,,,,,,1016,2,100,1016,1372,,,,,
1373,5,114.889802,30.394636,鄂州,,420700,0711,420700000000,,,鄂州市,,,,,,,1016,2,100,1016,1373,,,,,
1374,5,112.193437,31.037638,荆门,,420800,0724,420800000000,,,荆门市,,,,,,,1016,2,100,1016,1374,,,,,
1375,5,113.911418,30.927047,孝感,,420900,0712,420900000000,,,孝感市,,,,,,,1016,2,100,1016,1375,,,,,
1376,5,112.234031,30.337722,荆州,,421000,0716,421000000000,,,荆州市,,,,,,,1016,2,100,1016,1376,,,,,
1377,5,114.867254,30.456571,黄冈,,421100,0713,421100000000,,,黄冈市,,,,,,,1016,2,100,1016,1377,,,,,
1378,5,114.317086,29.843908,咸宁,,421200,0715,421200000000,,,咸宁市,,,,,,,1016,2,100,1016,1378,,,,,
1379,5,113.376241,31.692089,随州,,421300,0722,421300000000,,,随州市,,,,,,,1016,2,100,1016,1379,,,,,
1380,5,109.483302,30.274725,恩施州,,422800,0718,422800000000,,,恩施土家族苗族自治州,恩施,,,,,,1016,2,100,1016,1380,,,,,
1381,5,114.336363,30.548857,省直辖县级行政区划,,420000,,429000000000,,,,,,,,,,1016,2,100,1016,1381,,,,,
1382,5,112.933364,28.231717,长沙,,430100,0731,430100000000,,,长沙市,,,,,,,1017,2,100,1017,1382,,,,,
1383,5,113.128173,27.830691,株洲,,430200,0733,430200000000,,,株洲市,,,,,,,1017,2,100,1017,1383,,,,,
1384,5,112.938619,27.833187,湘潭,,430300,0732,430300000000,,,湘潭市,,,,,,,1017,2,100,1017,1384,,,,,
1385,5,112.566762,26.896816,衡阳,,430400,0734,430400000000,,,衡阳市,,,,,,,1017,2,100,1017,1385,,,,,
1386,5,111.462227,27.242137,邵阳,,430500,0739,430500000000,,,邵阳市,,,,,,,1017,2,100,1017,1386,,,,,
1387,5,113.122994,29.35966,岳阳,,430600,0730,430600000000,,,岳阳市,,,,,,,1017,2,100,1017,1387,,,,,
1388,5,111.692887,29.034698,常德,,430700,0736,430700000000,,,常德市,,,,,,,1017,2,100,1017,1388,,,,,
1389,5,110.474248,29.119961,张家界,,430800,0744,430800000000,,,张家界市,,,,,,,1017,2,100,1017,1389,,,,,
1390,5,112.349471,28.55701,益阳,,430900,0737,430900000000,,,益阳市,,,,,,,1017,2,100,1017,1390,,,,,
1391,5,113.009209,25.773467,郴州,,431000,0735,431000000000,,,郴州市,,,,,,,1017,2,100,1017,1391,,,,,
1392,5,111.608199,26.42398,永州,,431100,0746,431100000000,,,永州市,,,,,,,1017,2,100,1017,1392,,,,,
1393,5,109.993809,27.558295,怀化,,431200,0745,431200000000,,,怀化市,,,,,,,1017,2,100,1017,1393,,,,,
1394,5,111.987983,27.703378,娄底,,431300,0738,431300000000,,,娄底市,,,,,,,1017,2,100,1017,1394,,,,,
1395,5,109.73444,28.315337,湘西,,433100,0743,433100000000,,,湘西土家族苗族自治州,湘西州,,,,,,1017,2,100,1017,1395,,,,,
1396,5,113.259104,23.131839,广州,,440100,020,440100000000,,,广州市,,,,,,,1018,2,100,1018,1396,,,,,
1397,5,113.592332,24.813464,韶关,,440200,0751,440200000000,,,韶关市,,,,,,,1018,2,100,1018,1397,,,,,
1398,5,114.052754,22.545816,深圳,,440300,0755,440300000000,,,深圳市,,,,,,,1018,2,100,1018,1398,,,,,
1399,5,113.571687,22.27373,珠海,,440400,0756,440400000000,,,珠海市,,,,,,,1018,2,100,1018,1399,,,,,
1400,5,116.677504,23.356748,汕头,,440500,0754,440500000000,,,汕头市,,,,,,,1018,2,100,1018,1400,,,,,
1401,5,113.115933,23.024101,佛山,,440600,0757,440600000000,,,佛山市,,,,,,,1018,2,100,1018,1401,,,,,
1402,5,113.076451,22.581429,江门,,440700,0750,440700000000,,,江门市,,,,,,,1018,2,100,1018,1402,,,,,
1403,5,110.354881,21.273089,湛江,,440800,0759,440800000000,,,湛江市,,,,,,,1018,2,100,1018,1403,,,,,
1404,5,110.920944,21.665775,茂名,,440900,0668,440900000000,,,茂名市,,,,,,,1018,2,100,1018,1404,,,,,
1405,5,112.459836,23.049812,肇庆,,441200,0758,441200000000,,,肇庆市,,,,,,,1018,2,100,1018,1405,,,,,
1406,5,114.411228,23.114345,惠州,,441300,0752,441300000000,,,惠州市,,,,,,,1018,2,100,1018,1406,,,,,
1407,5,116.117412,24.291242,梅州,,441400,0753,441400000000,,,梅州市,,,,,,,1018,2,100,1018,1407,,,,,
1408,5,115.370337,22.788846,汕尾,,441500,0660,441500000000,,,汕尾市,,,,,,,1018,2,100,1018,1408,,,,,
1409,5,114.695747,23.746188,河源,,441600,0762,441600000000,,,河源市,,,,,,,1018,2,100,1018,1409,,,,,
