gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
2112,6,114.677971,37.004663,南和县,,130527,0319,130527000000,,,南和,,,,,,,1207,2,100,1002,1207,2112,,,,
2113,6,114.913558,37.61934,宁晋县,,130528,0319,130528000000,,,宁晋,,,,,,,1207,2,100,1002,1207,2113,,,,
2114,6,115.031399,37.220409,巨鹿县,,130529,0319,130529000000,,,巨鹿,,,,,,,1207,2,100,1002,1207,2114,,,,
2115,6,115.235991,37.527991,新河县,,130530,0319,130530000000,,,新河,,,,,,,1207,2,100,1002,1207,2115,,,,
2116,6,115.136471,37.074006,广宗县,,130531,0319,130531000000,,,广宗,,,,,,,1207,2,100,1002,1207,2116,,,,
2117,6,115.02404,37.062564,平乡县,,130532,0319,130532000000,,,平乡,,,,,,,1207,2,100,1002,1207,2117,,,,
2118,6,115.260814,36.974875,威县,,130533,0319,130533000000,,,,,,,,,,1207,2,100,1002,1207,2118,,,,
2119,6,115.661771,37.039695,清河县,,130534,0319,130534000000,,,清河,,,,,,,1207,2,100,1002,1207,2119,,,,
2120,6,115.4951,36.870446,临西县,,130535,0319,130535000000,,,临西,,,,,,,1207,2,100,1002,1207,2120,,,,
2121,6,114.56003,37.061365,河北邢台经济开发区,,130521,0319,130571000000,,,,,,,,,,1207,2,100,1002,1207,2121,,,,
2122,6,115.402504,37.358407,南宫市,,130581,0319,130581000000,,,南宫,,,,,,,1207,2,100,1002,1207,2122,,,,
2123,6,114.497448,36.854593,沙河市,,130582,0319,130582000000,,,沙河,,,,,,,1207,2,100,1002,1207,2123,,,,
2124,6,115.452331,38.876645,竞秀区,,130602,0312,130602000000,,,竞秀,,,,,,,1208,2,100,1002,1208,2124,,,,
2125,6,115.491145,38.882396,莲池区,,130606,0312,130606000000,,,莲池,,,,,,,1208,2,100,1002,1208,2125,,,,
2126,6,115.316046,38.948032,满城区,,130607,0312,130607000000,,,满城,,,,,,,1208,2,100,1002,1208,2126,,,,
2127,6,115.483756,38.764268,清苑区,,130608,0312,130608000000,,,清苑,,,,,,,1208,2,100,1002,1208,2127,,,,
2128,6,115.61845,39.02551,徐水区,,130609,0312,130609000000,,,徐水,,,,,,,1208,2,100,1002,1208,2128,,,,
2129,6,115.70774,39.393241,涞水县,,130623,0312,130623000000,,,涞水,,,,,,,1208,2,100,1002,1208,2129,,,,
2130,6,114.188734,38.848342,阜平县,,130624,0312,130624000000,,,阜平,,,,,,,1208,2,100,1002,1208,2130,,,,
2131,6,115.802108,39.262038,定兴县,,130626,0312,130626000000,,,定兴,,,,,,,1208,2,100,1002,1208,2131,,,,
2132,6,114.976925,38.747531,唐县,,130627,0312,130627000000,,,,,,,,,,1208,2,100,1002,1208,2132,,,,
