name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
莹白,0xe3f9fdff,"#E3F9FD",-1836547,227 249 253 100%,189 10% 99%,233 249 253,222 248 253,237 249 253,196 242 250,209 242 250,199 243 251,10 2 0 1,14 0 3 0,12 0 3 0,0.840287 0.909562 0.804187,96.39 -6.86 -4.51,96.39 8.21 213.31,96.39 -12.82 -4.49,96.39 13.59 199.31,-1
月白,0xd6ecf0ff,"#D6ECF0",-2691856,214 236 240 100%,189 11% 94%,220 235 239,206 232 236,225 238 241,171 214 222,184 214 222,174 215 223,11 2 0 6,19 2 8 0,17 2 6 0,0.740903 0.803758 0.713127,91.85 -6.92 -4.55,91.85 8.28 213.31,91.85 -12.83 -4.51,91.85 13.6 199.34,-1
象牙白,0xfffbf0ff,"#FFFBF0",-1040,255 251 240 100%,44 6% 100%,254 251 240,255 250 236,254 252 242,255 246 222,252 246 223,255 246 221,0 2 6 0,1 1 5 0,0 2 7 0,0.932217 0.966887 0.729915,98.71 -0.01 5.78,98.71 5.78 90.13,98.71 3.08 7.25,98.71 7.88 66.95,-1
缟,0xf2ecdeff,"#F2ECDE",-856866,242 236 222 100%,42 8% 95%,240 235 222,238 231 214,241 239 226,226 214 186,223 214 187,226 214 185,0 2 8 5,7 5 14 0,6 7 13 0,0.814707 0.843162 0.615497,93.59 0.33 7.57,93.59 7.57 87.49,93.59 4.52 9.28,93.59 10.32 64.02,-1
鱼肚白,0xfcefe8ff,"#FCEFE8",-200728,252 239 232 100%,21 8% 99%,248 238 232,250 235 226,248 241 235,248 220 206,240 220 206,247 220 205,0 5 8 1,2 5 9 0,1 8 8 0,0.872325 0.88429 0.673682,95.34 3.66 5.05,95.34 6.24 54.02,95.34 8.42 5.56,95.34 10.09 33.43,-1
白粉,0xfff2dfff,"#FFF2DF",-3361,255 242 223 100%,36 13% 100%,251 242 223,254 239 215,251 244 228,255 226 188,247 226 190,254 226 187,0 5 13 0,2 4 15 0,0 6 13 0,0.883563 0.903768 0.627149,96.15 2.23 10.85,96.15 11.08 78.37,96.15 9.22 12.85,96.15 15.82 54.33,-1
荼白,0xf3f9f1ff,"#F3F9F1",-787983,243 249 241 100%,105 3% 98%,244 249 241,241 248 237,246 250 243,229 242 224,232 242 225,230 242 224,2 0 3 2,6 1 7 0,5 1 7 0,0.881472 0.931848 0.732678,97.3 -3.11 3.12,97.3 4.4 134.84,97.3 -3.1 4.56,97.3 5.51 124.22,-1
鸭卵青,0xe0eee8ff,"#E0EEE8",-2035992,224 238 232 100%,154 6% 93%,227 237 232,218 234 226,232 240 235,190 218 206,198 218 206,192 219 205,6 0 3 7,14 3 12 0,13 2 10 0,0.769739 0.827697 0.669712,92.91 -5.62 1.23,92.91 5.76 167.69,92.91 -7.88 2.65,92.91 8.31 161.41,-1
素,0xe0f0e9ff,"#E0F0E9",-2035479,224 240 233 100%,154 7% 94%,228 240 233,218 237 227,232 242 236,190 222 208,199 222 208,192 223 207,7 0 3 6,15 2 12 0,14 1 10 0,0.777173 0.839914 0.67694,93.45 -6.43 1.48,93.45 6.6 167.06,93.45 -8.97 3.12,93.45 9.5 160.8,-1
青白,0xc0ebd7ff,"#C0EBD7",-4133929,192 235 215 100%,152 18% 92%,204 234 215,183 232 205,212 237 220,134 212 173,156 212 175,140 214 172,18 0 9 8,32 2 27 0,27 0 20 0,0.646991 0.754038 0.573326,89.58 -17.36 4.9,89.58 18.04 164.24,89.58 -23.23 9.43,89.58 25.07 157.92,-1
