# 制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn
"Idiom","Pinyin"
大逆不道,da4_ni4_bu2_dao4
大器晚成,da4_qi4_wan3_cheng2
大气磅礴,da4_qi4_bang4_bo2
大千世界,da4_qian1_shi4_jie4
大巧若拙,da4_qiao3_ruo4_zhuo1
大煞风景,da4_sha1_feng1_jing3
大声疾呼,da4_sheng1_ji2_hu1
大失所望,da4_shi1_suo3_wang4
大势所趋,da4_shi4_suo3_qu1
大是大非,da4_shi4_da4_fei1
大手大脚,da4_shou3_da4_jiao3
大书特书,da4_shu1_te4_shu1
大庭广众,da4_ting2_guang3_zhong4
大同小异,da4_tong2_xiao3_yi4
大喜过望,da4_xi3_guo4_wang4
大显身手,da4_xian3_shen1_shou3
大显神通,da4_xian3_shen2_tong1
大兴土木,da4_xing1_tu3_mu4
大言不惭,da4_yan2_bu4_can2
大摇大摆,da4_yao2_da4_bai3
大义凛然,da4_yi4_lin3_ran2
大义灭亲,da4_yi4_mie4_qin1
大有可为,da4_you2_ke3_wei2
大有作为,da4_you3_zuo4_wei2
大张旗鼓,da4_zhang1_qi2_gu3
大张挞伐,da4_zhang1_ta4_fa2
大智若愚,da4_zhi4_ruo4_yu2
大辂椎轮,da4_lu4_zhui1_lun2
呆若木鸡,dai1_ruo4_mu4_ji1
呆头呆脑,dai1_tou2_dai1_nao3
戴盆望天,dai4_pen2_wang4_tian1
戴月披星,dai4_yue4_pi1_xing1
戴罪立功,dai4_zui4_li4_gong1
待价而沽,dai4_jia4_er2_gu1
待人接物,dai4_ren2_jie1_wu4
担惊受怕,dan1_jing1_shou4_pa4
单刀直入,dan1_dao1_zhi2_ru4
单枪匹马,dan1_qiang1_pi2_ma3
胆大包天,dan3_da4_bao1_tian1
胆大妄为,dan3_da4_wang4_wei2
胆大心细,dan3_da4_xin1_xi4
胆识过人,dan3_shi2_guo4_ren2
胆小如鼠,dan2_xiao3_ru2_shu3
胆战心惊,dan3_zhan4_xin1_jing1
淡妆浓抹,dan4_zhuang1_nong2_mo3
弹冠相庆,tan2_guan1_xiang1_qing4
当断不断,dang1_duan4_bu2_duan4
当机立断,dang1_ji1_li4_duan4
当局者迷,dang1_ju2_zhe3_mi2
当仁不让,dang1_ren2_bu2_rang4
当头棒喝,dang1_tou2_bang4_he4
当头一棒,dang1_tou2_yi2_bang4
当务之急,dang1_wu4_zhi1_ji2
当之无愧,dang1_zhi1_wu2_kui4
当轴处中,dang1_zhou2_chu3_zhong1
党同伐异,dang3_tong2_fa2_yi4
荡检逾闲,dang4_jian3_yu2_xian2
刀耕火种,dao1_geng1_huo3_zhong4
刀光剑影,dao1_guang1_jian4_ying3
刀山火海,dao1_shan1_huo2_hai3
刀山剑林,dao1_shan1_jian4_lin2
蹈常袭故,dao3_chang2_xi2_gu4
倒打一耙,dao2_da3_yi4_pa2
倒果为因,dao2_guo3_wei2_yin1
倒海翻江,dao2_hai3_fan1_jiang1
倒行逆施,dao4_xing2_ni4_shi1
道不拾遗,dao4_bu4_shi2_yi2
道路以目,dao4_lu4_yi3_mu4
道貌岸然,dao4_mao4_an4_ran2
道听途说,dao4_ting1_tu2_shuo1
盗名欺世,dao4_ming2_qi1_shi4
德才兼备,de2_cai2_jian1_bei4
德高望重,de2_gao1_wang4_zhong4
得不偿失,de2_bu4_chang2_shi1
得步进步,de2_bu4_jin4_bu4
得寸进尺,de2_cun4_jin4_chi3
得道多助,de2_dao4_duo1_zhu4
得过且过,de2_guo4_qie3_guo4
得陇望蜀,de2_long3_wang4_shu3
得天独厚,de2_tian1_du2_hou4
得心应手,de2_xin1_ying4_shou3
得意忘形,de2_yi4_wang4_xing2
得意洋洋,de2_yi4_yang2_yang2
得鱼忘筌,de2_yu2_wang4_quan2
灯红酒绿,deng1_hong2_jiu3_lv4
登峰造极,deng1_feng1_zao4_ji2
登堂入室,deng1_tang2_ru4_shi4
等而下之,deng3_er2_xia4_zhi1
等量齐观,deng3_liang4_qi2_guan1
等闲视之,deng3_xian2_shi4_zhi1
低三下四,di1_san1_xia4_si4
低声下气,di1_sheng1_xia4_qi4
滴水不漏,di1_shui3_bu2_lou4
滴水成冰,di1_shui3_cheng2_bing1
滴水穿石,di1_shui3_chuan1_shi2
敌忾同仇,di2_kai4_tong2_chou2
涤瑕荡秽,di2_xia2_dang4_hui4
地大物博,di4_da4_wu4_bo2
