# https://github.com/mahavivo/scripta-sinica
# 汉语古典文本数据库（殆知阁）
"汉字","排名","频次"
诃,948,189776
寄,949,189264
雄,950,189107
巳,951,189062
邑,952,188824
洪,953,188619
效,954,187997
時,955,187684
符,956,187329
姑,957,186968
烟,958,186828
役,959,186541
圆,960,186466
泰,961,186410
委,962,186139
漏,963,185964
摄,964,185788
乙,965,185728
扬,966,185672
博,967,185395
坚,968,185222
招,969,184502
旗,970,184383
薄,971,184092
底,972,183707
冷,973,183565
投,974,183550
來,975,183502
均,976,183256
采,977,183253
争,978,183090
叔,979,182879
迹,980,182610
讲,981,182416
吐,982,182255
亭,983,181961
劫,984,181845
兰,985,181412
泽,986,181295
池,987,180945
孟,988,180927
盐,989,180880
畏,990,180663
旦,991,180242
韩,992,180181
叹,993,179841
冠,994,179566
姜,995,179212
庭,996,179160
胃,997,178967
禄,998,178615
儒,999,178383
笔,1000,178350
鲁,1001,177837
简,1002,177290
狱,1003,177160
刚,1004,177015
欢,1005,176658
横,1006,176448
煎,1007,175850
责,1008,175840
杜,1009,175668
童,1010,175476
麻,1011,175410
勇,1012,174940
格,1013,174097
雅,1014,173990
垂,1015,173451
幽,1016,173363
寂,1017,173254
爷,1018,173007
梅,1019,172940
稍,1020,172912
费,1021,172862
悟,1022,172510
愚,1023,171939
晚,1024,170704
勒,1025,170578
仰,1026,170240
虑,1027,170012
翻,1028,169909
编,1029,169809
娘,1030,169643
塞,1031,167982
赠,1032,167976
奸,1033,167838
策,1034,167772
铁,1035,167764
索,1036,167660
冲,1037,167164
射,1038,166758
韵,1039,166593
刀,1040,166269
额,1041,165912
丧,1042,165808
范,1043,165626
番,1044,165567
諸,1045,165237
敌,1046,164905
拟,1047,164419
否,1048,163091
尉,1049,162892
市,1050,162887
阙,1051,162863
产,1052,162424
劝,1053,161778
背,1054,161773
究,1055,161551
郭,1056,160517
贡,1057,160392
秀,1058,160229
柳,1059,159970
署,1060,159555
籍,1061,159478
迦,1062,159348
适,1063,159323
医,1064,159123
负,1065,158990
帅,1066,158654
恼,1067,158573
围,1068,158312
問,1069,158303
庚,1070,158302
助,1071,158299
纵,1072,158017
轮,1073,157961
肯,1074,157498
场,1075,157230
辨,1076,156870
陛,1077,156837
丰,1078,156828
弃,1079,156791
审,1080,156712
杖,1081,156701
逐,1082,156667
贞,1083,156144
违,1084,156037
伊,1085,156011
颜,1086,155964
续,1087,155811
祀,1088,155415
湿,1089,154805
經,1090,154062
贪,1091,154001
眾,1092,153728
茶,1093,153244
斋,1094,153077
哀,1095,153059
些,1096,152882
敕,1097,152629
谨,1098,152623
什,1099,152618
班,1100,152503
坏,1101,151950
鸣,1102,151746
项,1103,151719
雷,1104,151709
仆,1105,151631
脾,1106,150948
弱,1107,150697
奔,1108,150454
寅,1109,150131
鸟,1110,149941
與,1111,149590
革,1112,149565
羊,1113,149565
影,1114,149554
壮,1115,149382
挥,1116,149365
启,1117,149103
沉,1118,148894
贫,1119,148396
弥,1120,148296
堪,1121,148139
避,1122,147902
晓,1123,147882
昧,1124,147616
逢,1125,147566
夕,1126,147549
桥,1127,147464
屋,1128,147138
熙,1129,146817
活,1130,146674
厥,1131,146346
偏,1132,146174
触,1133,145821
借,1134,145501
辅,1135,145414
沈,1136,144938
凉,1137,144764
吃,1138,144749
弗,1139,144412
撰,1140,144296
肃,1141,144017
社,1142,143997
宾,1143,143993
祥,1144,143764
夺,1145,143513
浙,1146,142978
损,1147,142857
峰,1148,142687
萧,1149,142547
际,1150,141899
說,1151,141824
诣,1152,141686
脚,1153,141238
丙,1154,140814
荆,1155,140790
舌,1156,140753
斩,1157,140719
趣,1158,140666
炒,1159,140504
族,1160,140466
翁,1161,140211
肝,1162,140191
烧,1163,139855
遵,1164,139669
鼻,1165,139495
宰,1166,139477
像,1167,139311
岳,1168,138988
买,1169,138945
奴,1170,138940
付,1171,138872
限,1172,138859
染,1173,138810
写,1174,138691
仓,1175,138412
钦,1176,138347
讨,1177,137878
酉,1178,137617
虞,1179,137508
完,1180,137238
馆,1181,137045
恒,1182,137042
肺,1183,137017
驾,1184,136993
片,1185,136962
洋,1186,136738
卧,1187,136589
危,1188,136230
翰,1189,136104
葬,1190,136017
寇,1191,135911
暗,1192,135752
派,1193,135580
靖,1194,135335
单,1195,135313
震,1196,135115
述,1197,135014
稽,1198,134930
壬,1199,134876
库,1200,134874
村,1201,134750
洗,1202,134721
颇,1203,134632
训,1204,134627
短,1205,134528
季,1206,134517
灯,1207,134473
津,1208,134354
缺,1209,134330
門,1210,134291
卯,1211,133993
衰,1212,133961
戊,1213,133569
迟,1214,133534
吕,1215,133415
册,1216,133341
惑,1217,133072
隶,1218,133008
怨,1219,132730
逃,1220,132686
顶,1221,132545
抵,1222,132463
含,1223,132282
伐,1224,132266
局,1225,132069
芳,1226,131840
质,1227,131722
屯,1228,131716
尸,1229,131687
弘,1230,131618
謂,1231,131411
兹,1232,131238
判,1233,131175
快,1234,130744
允,1235,130598
袭,1236,130444
托,1237,130246
谛,1238,130185
陷,1239,130031
爵,1240,130031
维,1241,129938
灾,1242,129915
醉,1243,129887
贾,1244,129777
癸,1245,129762
怎,1246,129302
肾,1247,129285
盘,1248,129163
希,1249,128946
党,1250,128909
振,1251,128900
戌,1252,128747
凶,1253,128670
停,1254,128668
诵,1255,128580
毋,1256,128531
窃,1257,128519
愁,1258,128490
岸,1259,128456
钟,1260,127873
恨,1261,127672
井,1262,127588
梵,1263,127356
亥,1264,127305
锦,1265,127025
包,1266,126829
慎,1267,126544
佐,1268,126404
姐,1269,126224
辟,1270,125756
哭,1271,125102
研,1272,125095
旁,1273,125091
验,1274,124854
桃,1275,124792
吹,1276,124522
甫,1277,124301
径,1278,124153
契,1279,124016
饬,1280,123981
豆,1281,123895
處,1282,123859
蜀,1283,123660
匪,1284,123543
优,1285,123425
珍,1286,123360
壁,1287,123344
宽,1288,123225
逸,1289,123148
渡,1290,123020
祸,1291,122639
忌,1292,122240
占,1293,122236
荐,1294,122085
谈,1295,121888
鸡,1296,121868
穴,1297,121814
超,1298,121809
萬,1299,121404
苍,1300,121095
廉,1301,121088
丽,1302,120992
巴,1303,120888
惜,1304,120434
农,1305,120220
荒,1306,120142
涅,1307,120131
舞,1308,120129
怪,1309,120111
祠,1310,120110
迷,1311,119923
仕,1312,119550
戏,1313,119454
段,1314,119257
莲,1315,119187
导,1316,119120
槃,1317,119073
价,1318,119060
泥,1319,119006
唱,1320,118979
贺,1321,118945
疮,1322,118920
朔,1323,118761
傅,1324,118611
胸,1325,118609
肠,1326,118601
贯,1327,118488
洛,1328,118421
宪,1329,118237
颂,1330,118040
惧,1331,117994
旋,1332,117735
屈,1333,117733
障,1334,117730
尾,1335,117525
择,1336,117387
阵,1337,117349
件,1338,117188
席,1339,117103
访,1340,116705
残,1341,116603
拔,1342,116534
蔡,1343,116506
韻,1344,116486
纸,1345,116448
弊,1346,116265
羽,1347,116220
绍,1348,116141
秘,1349,116079
检,1350,115933
瑞,1351,115861
剑,1352,115859
缓,1353,115752
丝,1354,115290
忙,1355,115108
紧,1356,115037
酌,1357,114955
驻,1358,114667
昏,1359,114427
岩,1360,114279
谏,1361,114269
郁,1362,114122
顿,1363,113982
扶,1364,113928
磨,1365,113718
牙,1366,113607
配,1367,113553
禪,1368,113054
魂,1369,112306
饭,1370,111918
戴,1371,111910
偈,1372,111872
霜,1373,111768
诛,1374,111649
循,1375,111523
妃,1376,111034
巧,1377,110777
幼,1378,110698
鼎,1379,110558
绿,1380,110416
佳,1381,110298
喻,1382,110247
料,1383,109870
敷,1384,109686
悔,1385,109619
當,1386,109602
肿,1387,109301
闭,1388,109222
操,1389,109103
辄,1390,109091
泻,1391,109055
毁,1392,109035
靈,1393,108998
襄,1394,108717
桑,1395,108569
墨,1396,108464
譬,1397,108321
鉴,1398,108298
饥,1399,108298
洲,1400,108037
宅,1401,107913
衡,1402,107826
险,1403,107821
鸿,1404,107683
魔,1405,107499
样,1406,107442
翠,1407,107051
卢,1408,107044
卖,1409,107026
虫,1410,106610
抱,1411,106479
呈,1412,106404
拘,1413,106308
辈,1414,106296
税,1415,106253
拿,1416,106191
宇,1417,106117
乳,1418,106045
驰,1419,105913
顷,1420,105744
伽,1421,105624
哥,1422,105577
算,1423,105550
援,1424,105385
膏,1425,105315
塔,1426,105293
介,1427,105270
烈,1428,105258
式,1429,105167
斤,1430,104854
脏,1431,104666
筑,1432,104658
庸,1433,104633
泄,1434,104554
裁,1435,104548
岭,1436,104521
叙,1437,104503
眉,1438,104461
览,1439,104269
邦,1440,104229
途,1441,104169
预,1442,104166
涂,1443,104021
拨,1444,103723
侵,1445,103692
锡,1446,103659
麼,1447,103613
慢,1448,103409
焦,1449,103385
捕,1450,103277
豫,1451,103260
辽,1452,103215
暮,1453,103103
隔,1454,103056
尹,1455,102959
痰,1456,102770
墓,1457,102442
阅,1458,102441
碧,1459,101897
寡,1460,101668
练,1461,101524
潜,1462,101461
屡,1463,101443
暴,1464,101233
宴,1465,101176
殷,1466,100967
翼,1467,100727
俟,1468,100519
渊,1469,100439
穆,1470,100186
纷,1471,100157
毗,1472,99555
碍,1473,99403
牧,1474,99306
困,1475,99255
堕,1476,99249
郊,1477,99157
认,1478,99105
匹,1479,99046
偶,1480,98835
毫,1481,98762
狂,1482,98568
汁,1483,98398
貌,1484,98372
悬,1485,98320
履,1486,98252
奈,1487,98234
鹿,1488,98212
规,1489,98095
标,1490,97840
铜,1491,97668
彦,1492,97557
胎,1493,97536
衙,1494,97534
陶,1495,97527
遥,1496,97464
粗,1497,97339
柴,1498,97109
藩,1499,97045
悦,1500,97043
粉,1501,96972
馀,1502,96679
让,1503,96670
枢,1504,96549
伪,1505,96294
倚,1506,96280
吟,1507,96224
兆,1508,95998
赖,1509,95954
鹤,1510,95855
聖,1511,95602
伦,1512,95535
译,1513,95485
纯,1514,95475
淫,1515,95375
怜,1516,95269
氣,1517,95136
巨,1518,95062
柔,1519,94883
互,1520,94817
邻,1521,94787
渴,1522,94717
庵,1523,94673
虏,1524,94655
环,1525,94654
麦,1526,94364
床,1527,94258
款,1528,94160
协,1529,93960
饷,1530,93867
剿,1531,93866
妾,1532,93644
茂,1533,93602
穿,1534,93549
值,1535,93256
祝,1536,93073
腰,1537,92965
筹,1538,92962
坤,1539,92958
雍,1540,92933
蛇,1541,92831
尧,1542,92795
睡,1543,92585
添,1544,92559
亮,1545,92508
觀,1546,92498
炮,1547,92390
苟,1548,92144
核,1549,92042
禀,1550,91959
泪,1551,91565
钞,1552,91412
涉,1553,91392
鲜,1554,91194
碑,1555,91111
闽,1556,90941
義,1557,90814
束,1558,90689
哈,1559,90580
倍,1560,90470
苓,1561,90398
错,1562,90211
默,1563,90206
葛,1564,90080
级,1565,90027
润,1566,89491
滋,1567,89488
厌,1568,89111
阶,1569,88742
俊,1570,88706
長,1571,88643
扰,1572,88622
侧,1573,88617
怕,1574,88567
袁,1575,88524
齿,1576,88415
盈,1577,88383
铭,1578,88312
较,1579,88262
焚,1580,88257
庐,1581,88253
煮,1582,88139
炙,1583,88027
喝,1584,87888
荷,1585,87854
展,1586,87807
材,1587,87781
卜,1588,87610
纲,1589,87419
雲,1590,87215
遭,1591,87068
會,1592,86952
整,1593,86840
舆,1594,86778
胆,1595,86771
倾,1596,86676
捐,1597,86334
浅,1598,86326
從,1599,86225
董,1600,86180
戎,1601,86051
冥,1602,85853
仅,1603,85743
寨,1604,85627
昼,1605,85562
舒,1606,85456
佥,1607,85446
徙,1608,85274
症,1609,85135
暂,1610,85082
陽,1611,85060
冰,1612,84890
崔,1613,84823
弦,1614,84808
泣,1615,84620
繁,1616,84607
捣,1617,84516
彭,1618,84512
柱,1619,84494
谥,1620,84349
耕,1621,84281
昨,1622,84062
贱,1623,83836
淡,1624,83686
禹,1625,83470
凭,1626,83381
罚,1627,83289
阻,1628,83251
猛,1629,83085
弓,1630,83076
豪,1631,83056
渠,1632,82896
浪,1633,82877
彩,1634,82778
竭,1635,82635
区,1636,82403
卦,1637,82304
突,1638,82289
基,1639,82094
恤,1640,82069
荡,1641,82066
货,1642,82062
聞,1643,81959
妹,1644,81886
勘,1645,81860
饰,1646,81791
滞,1647,81743
坛,1648,81714
杯,1649,81686
寶,1650,81560
抑,1651,81559
探,1652,81553
勋,1653,81481
艺,1654,81331
黎,1655,81284
慰,1656,81178
舜,1657,81020
佑,1658,80680
忆,1659,80593
桓,1660,80529
逼,1661,80396
