# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
酋,1761,0.0000036264857115783383,0.9975579768288854
褶,1760,0.000003624426378408788,0.9975616012552637
甭,1758,0.000003620307712069687,0.9975652215629758
皓,1755,0.0000036141297125610357,0.9975688356926884
嘀,1739,0.0000035811803818482285,0.9975724168730702
晏,1737,0.0000035770617155091275,0.9975759939347857
跋,1735,0.0000035729430491700265,0.9975795668778349
嗣,1734,0.0000035708837160004762,0.9975831377615509
桓,1730,0.0000035626463833222742,0.9975867004079343
渝,1727,0.000003556468383813623,0.9975902568763181
椭,1724,0.0000035502903843049716,0.9975938071667024
帜,1723,0.0000035482310511354214,0.9975973553977535
湛,1720,0.00000354205305162677,0.9976008974508052
萃,1720,0.00000354205305162677,0.9976044395038568
疵,1716,0.000003533815718948568,0.9976079733195757
堤,1714,0.000003529697052609467,0.9976115030166284
梧,1713,0.0000035276377194399168,0.9976150306543479
颐,1713,0.0000035276377194399168,0.9976185582920674
荟,1712,0.0000035255783862703665,0.9976220838704536
峻,1710,0.0000035214597199312655,0.9976256053301735
惬,1707,0.000003515281720422614,0.9976291206118939
缪,1697,0.0000034946883887271096,0.9976326153002826
釜,1697,0.0000034946883887271096,0.9976361099886712
昊,1696,0.0000034926290555575593,0.9976396026177268
簧,1693,0.000003486451056048908,0.9976430890687829
濡,1692,0.0000034843917228793573,0.9976465734605058
榻,1691,0.000003482332389709807,0.9976500557928955
哧,1689,0.000003478213723370706,0.9976535340066188
鸳,1683,0.0000034658577243534034,0.9976569998643432
彷,1682,0.0000034637983911838527,0.9976604636627344
孵,1678,0.000003455561058505651,0.9976639192237929
笋,1677,0.000003453501725336101,0.9976673727255183
岚,1677,0.000003453501725336101,0.9976708262272437
壕,1675,0.000003449383058997,0.9976742756103026
剿,1668,0.0000034349677268101465,0.9976777105780295
咩,1668,0.0000034349677268101465,0.9976811455457563
琦,1668,0.0000034349677268101465,0.9976845805134831
脓,1661,0.0000034205523946232937,0.9976880010658777
稠,1659,0.0000034164337282841927,0.997691417499606
笙,1659,0.0000034164337282841927,0.9976948339333342
垢,1655,0.0000034081963956059906,0.9976982421297299
淤,1654,0.0000034061370624364404,0.9977016482667923
鑫,1652,0.0000034020183960973394,0.9977050502851884
膳,1647,0.000003391721730249587,0.9977084420069187
鬓,1647,0.000003391721730249587,0.9977118337286489
烊,1643,0.0000033834843975713855,0.9977152172130465
拗,1642,0.000003381425064401835,0.9977185986381109
邵,1641,0.0000033793657312322845,0.9977219780038421
吏,1639,0.0000033752470648931835,0.9977253532509069
徊,1638,0.000003373187731723633,0.9977287264386386
拣,1635,0.000003367009732214982,0.9977320934483709
幌,1633,0.000003362891065875881,0.9977354563394367
檀,1623,0.0000033422977341803763,0.9977387986371709
恬,1623,0.0000033422977341803763,0.997742140934905
噬,1615,0.0000033258230688239727,0.9977454667579738
跤,1614,0.0000033237637356544224,0.9977487905217095
檐,1614,0.0000033237637356544224,0.9977521142854452
