# 来源：本词表来自BCC语料库汉语部分的博客（blog）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"Word","Rank","Count"
写,654,1645172
采取,655,1641575
很大,656,1636939
压力,657,1636099
客户,658,1633764
文,659,1633501
训练,660,1633454
传统,661,1629649
有效,662,1625628
重,663,1620378
综合,664,1620143
领域,665,1620050
证,666,1619870
更加,667,1616701
范围,668,1614452
商业,669,1610609
一下,670,1608890
球队,671,1606272
广州,673,1602502
利益,674,1600020
月份,675,1599209
您,676,1597033
请,677,1596664
意见,678,1589725
轮,679,1589361
保障,681,1587550
先,682,1585366
快,683,1584484
规模,684,1578724
行动,685,1577681
预计,686,1576685
贷款,687,1572964
东西,688,1572568
类,689,1571006
口,690,1566206
音乐,691,1563232
真正,692,1561847
越来越,694,1560163
成绩,695,1559009
当然,696,1553282
如此,697,1544986
稳定,698,1543498
公,699,1538923
十分,700,1533998
来到,701,1532898
联,702,1530959
发布,703,1529294
此外,704,1528212
检查,705,1528155
块,706,1527408
出口,707,1525996
空间,708,1522648
韩国,709,1521974
下降,710,1521819
重大,711,1519339
事故,712,1515757
宣布,713,1514344
然后,714,1509450
网站,715,1507937
保证,716,1506515
模式,717,1504177
男子,718,1503117
成立,719,1501912
对手,720,1501024
单,721,1498376
首,722,1496433
比如,723,1491092
只要,724,1491037
来源,725,1485760
以下,726,1483318
股票,727,1479687
统计,728,1479177
只能,729,1478923
少,730,1478605
合同,731,1477640
卖,732,1477429
几个,733,1477325
不要,734,1473338
管,735,1472569
附近,736,1470734
联系,737,1468591
保,738,1465285
建筑,739,1457445
程度,740,1456030
原,741,1453628
力,742,1451933
大量,743,1449762
因素,744,1447656
底,745,1445986
自然,746,1445941
红,747,1444547
同样,748,1442505
明确,749,1442130
特,750,1441284
最近,751,1439767
油,752,1438774
有人,753,1435696
段,754,1429478
胜,755,1427793
越,756,1425947
送,757,1422884
支,758,1422187
发挥,759,1421708
结构,760,1420956
召开,761,1420586
工作人员,762,1419647
收,763,1419170
几乎,764,1417437
面对,765,1416354
仍然,766,1413987
委,767,1412159
随后,768,1410353
首次,769,1409461
坚持,771,1408530
股权,772,1407307
村,773,1406212
首先,774,1405513
平均,775,1404744
每天,776,1402570
肯定,778,1397621
投入,779,1397519
任务,780,1397346
引起,781,1395648
发行,782,1393762
安排,783,1391873
广告,784,1390956
费用,785,1390514
现,786,1389274
讲,787,1389066
集中,788,1388744
听,789,1387297
状态,790,1386717
花,791,1386511
利润,793,1384326
负责,794,1381777
观众,796,1379764
户,797,1378490
马,798,1376912
确定,799,1374535
经验,800,1370631
改变,801,1370073
医疗,802,1367365
完,803,1367019
大学,804,1366878
行政,805,1364203
注意,806,1362924
公开,807,1361577
区域,808,1360381
党,809,1359443
指,810,1357870
联赛,811,1356975
深圳,812,1355992
面积,813,1355959
西,814,1355405
友,815,1350076
联合,816,1347810
科学,817,1346267
促进,818,1346092
连续,819,1345314
办,820,1344385
新浪,822,1341813
农民,823,1341687
公里,824,1340064
上升,825,1339799
社区,826,1339374
选,827,1337684
正常,828,1336594
战,829,1334944
近日,830,1334112
流通,831,1333986
长期,832,1333492
那些,833,1329714
德,834,1329573
书,835,1329345
层,836,1329342
有限公司,837,1328688
晚,838,1326682
工业,839,1326643
－,840,1325319
比例,841,1325168
／,842,1324676
整体,843,1323965
俄罗斯,844,1322052
并且,845,1322012
生,846,1321041
相当,847,1318389
华,848,1316986
对此,849,1311586
现象,850,1310454
阶段,851,1309654
据悉,852,1306935
股份,853,1306756
监督,854,1306563
容易,855,1303050
每年,856,1302623
升,857,1301392
为什么,858,1300712
突然,859,1300437
值,860,1299874
体育,861,1299482
店,862,1298998
座,863,1298608
版,864,1293750
关键,865,1290634
倍,866,1290013
电子,867,1287698
编辑,868,1287572
德国,869,1286989
食品,870,1285043
不到,871,1284660
阿,872,1283669
针对,873,1276869
速度,874,1274469
王,875,1273962
建,876,1273593
刚,877,1272185
短,878,1271411
体系,879,1270203
宣传,880,1267743
机制,881,1267348
推动,882,1266565
推进,883,1263823
然而,884,1263797
协议,885,1262089
相信,886,1259932
效果,887,1259820
曾经,888,1257481
校,889,1256432
者,890,1254283
并没有,891,1253110
转,892,1251835
后来,893,1250979
终于,894,1249760
队员,895,1246349
委员会,896,1245021
系,897,1241162
政治,898,1241151
相对,899,1239356
设备,900,1237736
交流,901,1237718
犯罪,902,1236611
良好,903,1236096
言,904,1236034
远,905,1235681
相比,906,1235582
以前,907,1235045
深,908,1234538
意义,909,1233322
职业,910,1231341
而是,911,1221933
住房,912,1219414
让人,913,1218918
伊朗,914,1215575
人才,915,1215330
有的,916,1209231
作品,917,1206032
总统,919,1204744
动,920,1203304
业,921,1199850
中央,922,1198302
完善,923,1198274
统一,924,1194782
强调,925,1194482
置,926,1193732
死亡,927,1188986
早,928,1188243
收购,929,1187058
扩大,930,1186867
边,931,1186421
客,932,1183456
经常,933,1183322
拍,934,1179792
普通,935,1178242
学,936,1177395
令,937,1177030
举办,938,1177020
方法,939,1175390
核心,940,1175222
伊拉克,941,1174007
世纪,942,1172065
属于,943,1171327
换,944,1171137
儿子,945,1170578
排,946,1170370
巨大,947,1170243
贸易,948,1169154
官员,949,1168533
先生,951,1165238
监,952,1164740
民警,953,1163771
摄,954,1162374
干部,955,1161721
迅速,956,1160245
足球,957,1160033
坐,958,1159361
申请,959,1159022
根本,960,1158844
提升,961,1156710
投,962,1155753
第一次,963,1154938
处于,964,1154289
初,965,1153667
票,966,1153552
位于,967,1153436
一切,968,1151346
案件,969,1149440
男,970,1146718
重新,971,1146450
当天,972,1144561
电脑,973,1142194
反映,974,1140102
你们,975,1139592
节目,976,1138471
培训,977,1138294
困难,978,1134949
实力,980,1134131
跑,981,1133140
通知,982,1129273
基地,983,1129260
面临,984,1129232
晚上,985,1129142
实行,986,1128961
利,987,1128312
感到,988,1128229
拍摄,989,1125102
发表,990,1125026
说明,991,1124729
软件,992,1124678
那个,993,1123474
物,994,1121585
作者,995,1120872
现代,996,1119326
声,997,1118572
符合,998,1118512
数量,999,1118379
依然,1000,1118369
代,1001,1117307
就业,1002,1117019
结合,1005,1114589
和谐,1006,1111541
设施,1007,1111373
著名,1008,1110041
南京,1009,1109744
近期,1010,1108821
状况,1011,1107790
商品,1012,1107545
主席,1013,1105829
最好,1014,1105128
难,1015,1103718
身体,1016,1103557
心理,1017,1102745
操作,1018,1100147
规范,1019,1099238
对方,1020,1098408
份,1021,1097893
法国,1022,1097865
简单,1023,1096775
资料,1024,1096246
特别是,1025,1094410
老师,1026,1093240
防,1027,1092903
娱乐,1028,1090055
预期,1029,1088736
及时,1030,1086656
协会,1031,1086636
更是,1032,1086421
停,1033,1085999
于是,1034,1085579
反,1035,1085340
多少,1036,1084956
体现,1037,1084811
制定,1038,1084230
力量,1039,1083632
东,1040,1082751
快速,1041,1082057
穿,1042,1078282
且,1043,1074892
形式,1044,1074736
还要,1045,1074658
平,1046,1074401
认识,1047,1073913
数字,1048,1071767
指数,1049,1071231
山,1050,1070538
半,1051,1069526
奥,1053,1068311
平台,1054,1066572
此前,1055,1066352
时代,1056,1064377
药,1057,1062573
父母,1058,1061375
车辆,1059,1060368
南,1060,1060034
离开,1061,1059441
涨,1062,1059218
主持人,1063,1059111
似乎,1064,1058351
靠,1066,1057967
无论,1067,1057911
热,1068,1056584
可是,1069,1056528
展,1070,1053539
县,1071,1051436
成员,1072,1048583
杯,1073,1048565
不知道,1074,1048315
子,1075,1047397
至少,1076,1047336
伤,1077,1044984
供应,1078,1043324
启动,1079,1042623
博,1080,1042585
科,1081,1040285
运动,1082,1039660
满足,1083,1039367
经历,1084,1036919
亚洲,1085,1036559
啊,1086,1035627
立即,1087,1032848
刚刚,1088,1032736
石油,1089,1030321
很好,1090,1029773
展开,1092,1028470
都会,1093,1026576
故事,1094,1025571
亚,1095,1025372
目的,1096,1024220
各地,1097,1023870
机关,1098,1022973
中国队,1099,1021639
俱乐部,1100,1020540
下跌,1101,1020498
系列,1102,1019181
公告,1103,1018244
吸引,1104,1017574
收益,1105,1016498
事业,1106,1015625
里面,1107,1015262
获,1108,1015001
持,1109,1009864
女人,1110,1008991
父亲,1111,1007684
不错,1112,1006948
登记,1113,1006490
比分,1114,1003493
医生,1115,1002710
创造,1116,1002653
艺术,1117,1002088
广大,1118,1001491
严格,1119,1001330
团,1120,1001135
通,1121,999731
派,1122,998958
母亲,1123,997868
一段,1124,997749
重视,1125,996504
女儿,1126,995712
道路,1127,994989
合理,1128,994940
飞,1129,994069
执法,1130,994058
年代,1131,992347
正是,1132,992117
环保,1133,990993
员工,1134,990616
专门,1135,990394
考试,1136,990248
加大,1137,990179
降低,1138,985128
享受,1139,985083
证明,1140,985062
文件,1141,984575
牌,1142,984310
院,1143,983689
恢复,1144,982567
死,1145,982298
值得,1147,979955
同意,1148,979288
女性,1149,979068
末,1150,976246
落实,1151,975500
加快,1152,974197
巴,1153,972921
有所,1154,972291
内部,1155,971144
想到,1156,970612
妈妈,1157,969707
第,1158,967219
搞,1159,966619
制造,1160,966557
维,1161,965525
飞机,1162,964753
民,1163,964216
主任,1164,963362
每个,1166,962065
高度,1167,961903
运营,1168,961826
趋势,1169,961612
今后,1170,961420
能源,1171,961332
提,1172,961269
论坛,1173,961013
独立,1174,960826
愿意,1175,959786
形象,1176,959481
加上,1177,959239
需,1178,959099
组成,1179,958964
极,1180,958636
净,1182,957485
思想,1183,956815
变,1184,955551
女子,1185,955285
使得,1186,954639
北京时间,1187,954099
男人,1188,949944
期货,1189,949835
量,1190,949102
治疗,1191,948324
性,1192,948317
时尚,1193,948199
开放,1194,948163
特点,1195,947933
北,1196,947774
即使,1197,945277
工资,1198,944645
任,1199,943556
具,1200,943362
下来,1201,942658
笑,1202,942266
老人,1203,941647
运行,1204,940746
股市,1205,937541
从而,1206,936440
最新,1207,936209
别,1208,935999
出席,1209,935404
赛季,1210,935147
黑,1211,932690
龙,1212,932497
推,1213,932096
不足,1214,930828
往,1216,930362
也许,1217,929761
装,1218,928871
指标,1219,928568
明,1220,928388
今日,1221,928254
支付,1222,927328
即将,1223,927317
增,1224,926322
全市,1225,925621
人物,1226,925436
涉及,1227,925136
字,1228,923088
届,1229,921563
板,1230,921516
房价,1231,920869
别人,1232,920717
解释,1233,919440
基,1234,919182
小组,1235,917773
满,1236,917015
