"字","繁体"
绳,繩
圣,聖
胜,勝
师,師
狮,獅
诗,詩
湿,濕
时,時
识,識
实,實
蚀,蝕
驶,駛
势,勢
饰,飾
试,試
视,視
适,適
释,釋
寿,壽
兽,獸
绶,綬
书,書
纾,紓
枢,樞
摅,攄
输,輸
数,數
属,屬
术,術
树,樹
竖,豎
帅,帥
闩,閂
双,雙
谁,誰
顺,順
说,說
烁,爍
铄,鑠
硕,碩
丝,絲
咝,噝
饲,飼
驷,駟
松,鬆
怂,慫
耸,聳
讼,訟
诵,誦
颂,頌
馊,餿
飕,颼
擞,擻
苏,蘇 囌
稣,穌
诉,訴
肃,肅
虽,雖
双,雙
绥,綏
随,隨
岁,歲
孙,孫
狲,猻
损,損
笋,筍
缩,縮
琐,瑣
锁,鎖
獭,獺
挞,撻
台,臺 檯 颱
态,態
贪,貪
摊,攤
滩,灘
瘫,癱
坛,壇 罎
昙,曇
谈,談
弹,彈
谭,譚
叹,歎
汤,湯
烫,燙
涛,濤
条,條
绦,絛
讨,討
誊,謄
腾,騰
题,題
体,體
钿,鈿
条,條
调,調
粜,糶
贴,貼
铁,鐵
厅,廳
听,聽
铜,銅
统,統
恸,慟
头,頭
图,圖
涂,塗
团,團 糰
颓,頹
饨,飩
驮,馱
驼,駝
鸵,鴕
椭,橢
洼,窪
娲,媧
袜,襪
弯,彎
湾,灣
顽,頑
纨,紈
绾,綰
万,萬
网,網
违,違
伟,偉
围,圍
闱,闈
帏,幃
维,維
纬,緯
伪,偽
韦,韋
苇,葦
诿,諉
卫,衛
为,為
谓,謂
纹,紋
闻,聞
稳,穩
问,問
涡,渦
挝,撾
莴,萵
窝,窩
蜗,蝸
乌,烏
呜,嗚
诬,誣
无,無
芜,蕪
鹉,鵡
务,務
妩,嫵
坞,塢
误,誤
骛,騖
雾,霧
鹜,鶩
牺,犧
锡,錫
习,習
袭,襲
玺,璽
系,係 繫
戏,戲
细,細
虾,蝦
侠,俠
峡,峽
辖,轄
吓,嚇
鲜,鮮
闲,閑
贤,賢
咸,鹹
娴,嫻
衔,銜
痫,癇
显,顯
险,險
藓,蘚
馅,餡
苋,莧
县,縣
现,現
线,線
宪,憲
献,獻
镶,鑲
乡,鄉
详,詳
响,響
饷,餉
向,嚮
项,項
枭,梟
骁,驍
萧,蕭
啸,嘯
箫,簫
潇,瀟
销,銷
晓,曉
协,協
胁,脅
挟,挾
谐,諧
写,寫
泻,瀉
亵,褻
谢,謝
衅,釁
兴,興
凶,兇
馐,饈
绣,繡
锈,鏽
吁,籲
须,須 鬚
许,許
诩,詡
绪,緒
续,續
轩,軒
悬,懸
旋,鏇
癣,癬
选,選
绚,絢
学,學
鳕,鱈
谑,謔
勋,勳
寻,尋
驯,馴
询,詢
荨,蕁
训,訓
讯,訊
逊,遜
压,壓
鸦,鴉
鸭,鴨
哑,啞
亚,亞
讶,訝
恹,懨
严,嚴
阉,閹
岩,巖
盐,鹽
阎,閻
颜,顏
俨,儼
魇,魘
厌,厭
砚,硯
艳,豔
验,驗
谚,諺
赝,贗
鸯,鴦
扬,揚
阳,陽
杨,楊
疡,瘍
养,養
痒,癢
样,樣
尧,堯
谣,謠
药,藥
钥,鑰
爷,爺
业,業
叶,葉
页,頁
医,醫
仪,儀
贻,貽
遗,遺
颐,頤
亿,億
义,義
艺,藝
忆,憶
议,議
异,異
呓,囈
译,譯
诣,詣
绎,繹
轶,軼
谊,誼
缢,縊
驿,驛
阴,陰
荫,蔭
银,銀
龈,齦
饮,飲
隐,隱
瘾,癮
鹦,鸚
应,應
莺,鶯
婴,嬰
缨,纓
樱,櫻
鹰,鷹
荧,熒
莹,瑩
萤,螢
营,營
赢,贏
萦,縈
蝇,蠅
颖,穎
哟,喲
痈,癰
佣,傭
拥,擁
踊,踴
优,優
忧,憂
邮,郵
犹,猶
鱿,魷
诱,誘
纡,紆
余,餘
谀,諛
渔,漁
鱼,魚
舆,輿
与,與
屿,嶼
伛,傴
语,語
驭,馭
妪,嫗
狱,獄
预,預
谕,諭
御,禦
誉,譽
郁,鬱
鸳,鴛
渊,淵
园,園
员,員
圆,圓
缘,緣
媛,媛
辕,轅
远,遠
愿,願
约,約
岳,嶽
阅,閱
跃,躍
晕,暈
云,雲
芸,芸
陨,隕
殒,殞
运,運
酝,醞
蕴,蘊
杂,雜
灾,災
载,載
攒,攢
暂,暫
赞,贊
脏,贜 髒
凿,鑿
枣,棗
灶,竈
则,則
责,責
择,擇
泽,澤
啧,嘖
贼,賊
赠,贈
扎,紮
轧,軋
闸,閘
铡,鍘
诈,詐
斋,齋
债,債
毡,氈
斩,斬
盏,盞
崭,嶄
辗,輾
占,佔
栈,棧
战,戰
绽,綻
张,張
长,長
赃,臓
涨,漲
帐,帳
胀,脹
钊,釗
诏,詔
赵,趙
辄,輒
蛰,蟄
谪,謫
辙,轍
折,摺
这,這
贞,貞
针,針
侦,偵
祯,禎
诊,診
缜,縝
阵,陣
鸩,鴆
赈,賑
镇,鎮
征,徵
证,證
症,癥
郑,鄭
诤,諍
只,隻 祗 衹
织,織
执,執
踯,躑
职,職
纸,紙
帜,幟
制,製
质,質
挚,摯
致,緻
掷,擲
滞,滯
终,終
钟,鐘 鍾
肿,腫
种,種
众,眾
诌,謅
周,週
轴,軸
纣,紂
绉,縐
昼,晝
皱,皺
骤,驟
朱,硃
诛,誅
诸,諸
烛,燭
贮,貯
注,註
驻,駐
铸,鑄
筑,築
专,專
砖,磚
转,轉
啭,囀
赚,賺
妆,妝
庄,莊
桩,樁
装,裝
壮,壯
状,狀
骓,騅
坠,墜
锥,錐
缀,綴
赘,贅
谆,諄
准,准
浊,濁
资,資
渍,漬
综,綜
总,總
纵,縱
邹,鄒
诅,詛
组,組
钻,鑽
鳟,鱒
